"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Ysub"	"RTsub"	"Ytot"	"RTtot"
17	"Male"	"NL"	18	"5"	1	0	NA	NA	NA	NA
17	"Male"	"NL"	19	"5"	0	0	NA	NA	NA	NA
17	"Male"	"NL"	20	"5"	1	0	NA	NA	NA	NA
17	"Male"	"NL"	21	"6"	0	0	NA	NA	NA	NA
18	"Male"	"FR"	1	"1"	1	46	2	125	16	654
18	"Male"	"FR"	2	"1"	1	45	4	124	16	654
18	"Male"	"FR"	3	"1"	0	18	3	80	16	654
18	"Male"	"FR"	4	"1"	0	16	3	155	16	654
18	"Male"	"FR"	5	"2"	1	54	3	170	16	654
18	"Male"	"FR"	6	"2"	1	23	1	0	16	654
18	"Male"	"FR"	7	"2"	1	23	NA	NA	NA	NA
18	"Male"	"FR"	8	"2"	1	24	NA	NA	NA	NA
18	"Male"	"FR"	9	"3"	1	29	NA	NA	NA	NA
18	"Male"	"FR"	10	"3"	1	21	NA	NA	NA	NA
18	"Male"	"FR"	11	"3"	0	20	NA	NA	NA	NA
18	"Male"	"FR"	12	"3"	1	10	NA	NA	NA	NA
18	"Male"	"FR"	13	"4"	0	97	NA	NA	NA	NA
18	"Male"	"FR"	14	"4"	1	37	NA	NA	NA	NA
18	"Male"	"FR"	15	"4"	1	14	NA	NA	NA	NA
18	"Male"	"FR"	16	"4"	1	7	NA	NA	NA	NA
18	"Male"	"FR"	17	"5"	1	105	NA	NA	NA	NA
18	"Male"	"FR"	18	"5"	0	29	NA	NA	NA	NA
18	"Male"	"FR"	19	"5"	1	15	NA	NA	NA	NA
18	"Male"	"FR"	20	"5"	1	21	NA	NA	NA	NA
18	"Male"	"FR"	21	"6"	1	0	NA	NA	NA	NA
19	"Male"	"NL"	1	"1"	0	123	2	295	12	653
19	"Male"	"NL"	2	"1"	1	64	2	215	12	653
19	"Male"	"NL"	3	"1"	1	36	3	143	12	653
19	"Male"	"NL"	4	"1"	0	72	1	0	12	653
19	"Male"	"NL"	5	"2"	0	69	3	0	12	653
19	"Male"	"NL"	6	"2"	1	40	1	0	12	653
19	"Male"	"NL"	7	"2"	1	49	NA	NA	NA	NA
19	"Male"	"NL"	8	"2"	0	57	NA	NA	NA	NA
19	"Male"	"NL"	9	"3"	1	26	NA	NA	NA	NA
19	"Male"	"NL"	10	"3"	1	44	NA	NA	NA	NA
19	"Male"	"NL"	11	"3"	0	54	NA	NA	NA	NA
19	"Male"	"NL"	12	"3"	1	19	NA	NA	NA	NA
19	"Male"	"NL"	13	"4"	0	0	NA	NA	NA	NA
19	"Male"	"NL"	14	"4"	0	0	NA	NA	NA	NA
19	"Male"	"NL"	15	"4"	0	0	NA	NA	NA	NA
19	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
19	"Male"	"NL"	17	"5"	1	0	NA	NA	NA	NA
19	"Male"	"NL"	18	"5"	1	0	NA	NA	NA	NA
19	"Male"	"NL"	19	"5"	0	0	NA	NA	NA	NA
19	"Male"	"NL"	20	"5"	1	0	NA	NA	NA	NA
19	"Male"	"NL"	21	"6"	1	0	NA	NA	NA	NA
20	"Male"	"NL"	1	"1"	0	80	1	164	12	676
20	"Male"	"NL"	2	"1"	1	39	3	99	12	676
20	"Male"	"NL"	3	"1"	0	20	2	71	12	676
20	"Male"	"NL"	4	"1"	0	25	3	108	12	676
20	"Male"	"NL"	5	"2"	0	30	3	234	12	676
20	"Male"	"NL"	6	"2"	1	25	0	0	12	676
20	"Male"	"NL"	7	"2"	1	24	NA	NA	NA	NA
20	"Male"	"NL"	8	"2"	1	20	NA	NA	NA	NA
20	"Male"	"NL"	9	"3"	1	19	NA	NA	NA	NA
20	"Male"	"NL"	10	"3"	1	23	NA	NA	NA	NA
20	"Male"	"NL"	11	"3"	0	22	NA	NA	NA	NA
20	"Male"	"NL"	12	"3"	0	7	NA	NA	NA	NA
